Symbol,Exchange,Date,Time,CurrentVolume,LastPrice,NBB,NBO,ImbSide,ImbalanceSize, Notional Imbalance ,ImbalanceSource,ImbalanceType,ExchangeDate,ExchangeTime,MatchedSize,CurrentReferencePrice,NearIndicativePrice,FarIndicativePrice,Matched to Unmatched,Close,% move from Snashot to Close
KO,UNEX,20191126,54:59.7,7222705,53.88,53.87,53.88,B,296406," $ 15,970,355.28 ",NYSE,I,20191126,55:00.2,2021679,53.88,54.23,55.8,0.1466137799,53.9,0.04%
KO,UNEX,20190827,49:59.9,7698588,54.7601,54.76,54.77,B,325224," $ 17,809,298.76 ",NYSE,C,20190827,50:00.0,1020921,54.76,0,0,0.3185594184,54.72,-0.07%
SAP,UNEX,20200619,50:01.4,745468,136.56,136.47,136.54,B,9386," $ 1,281,752.16 ",NYSE,I,20200619,50:00.4,47757,136.63,139.58,140.47,0.1965366334,137.03,0.34%
SAP,UNEX,20200529,50:01.7,1610392,127.5,127.38,127.5,B,15874," $ 2,023,935.00 ",NYSE,I,20200529,50:00.8,10279,127.38,4294.67,0,1.544313649,128.1,0.47%
SAP,UNEX,20191220,50:01.2,344667,134.23,134.2,134.26,B,19227," $ 2,580,840.21 ",NYSE,I,20191220,50:00.3,11015,134.21,138.4,140.84,1.745528824,134.41,0.13%
SAP,UNEX,20190920,50:00.6,922211,119.37,119.35,119.37,B,12588," $ 1,502,629.56 ",NYSE,I,20190920,50:00.4,30081,119.35,123,123.43,0.4184701306,119.4,0.03%
ABT,UNEX,20200626,55:00.3,4597871,88.74,88.72,88.76,B,111460," $ 9,890,960.40 ",NYSE,I,20200626,55:00.3,1562299,88.74,89.93,0,0.07134357764,88.71,-0.03%
ABT,UNEX,20200619,49:59.9,4253166,90.96,90.95,90.96,B,616429," $ 56,070,381.84 ",NYSE,C,20200619,50:00.0,2139207,90.95,0,0,0.2881577145,90.68,-0.31%
ABT,UNEX,20200529,49:59.7,3831214,92.57,92.56,92.57,B,1458369," $ 135,001,218.33 ",NYSE,C,20200529,50:00.0,623015,92.59,0,0,2.34082486,94.92,2.54%
ABT,UNEX,20200529,55:00.3,4175209,93.35,93.36,93.39,B,1282205," $ 119,693,836.75 ",NYSE,I,20200529,55:00.6,942115,93.38,4294.67,0,1.360985655,94.92,1.68%
ABT,UNEX,20191220,49:59.7,5696157,86.82,86.82,86.83,B,114253," $ 9,919,445.46 ",NYSE,C,20191220,50:00.0,2480698,86.82,0,0,0.04605679531,86.66,-0.18%
ABT,UNEX,20191220,55:00.3,5898982,86.76,86.76,86.77,B,44012," $ 3,818,481.12 ",NYSE,I,20191220,55:00.3,2950588,86.76,87.09,87.52,0.01491634888,86.66,-0.12%
ABT,UNEX,20191126,49:59.7,2978289,85.35,85.34,85.35,B,83228," $ 7,103,509.80 ",NYSE,C,20191126,50:00.0,2964259,85.35,0,0,0.0280771687,85.42,0.08%
